project_id,project_name,department,project_manager_id,project_type,priority,status,start_date,planned_end_date,actual_end_date,budget,actual_cost
PRJ001,"Technology Initiative 1",Procurement,PM009,Technology,Medium,Completed,2024-02-07,2024-09-03,2024-10-07,1223936.52,1307621.37
PRJ002,"Digital Transformation Upgrade 2",HR,PM004,"Digital Transformation",Medium,"At Risk",2024-01-25,2024-07-14,2024-11-29,713488.51,609617.30
PRJ003,"Digital Transformation Transformation 3",IT,PM002,"Digital Transformation",Low,"At Risk",2024-10-09,2025-01-29,2025-06-25,1095644.78,1249682.05
PRJ004,"Process Improvement Implementation 4",IT,PM009,"Process Improvement",High,"In Progress",2024-06-19,2024-12-24,NULL,1423915.08,466324.54
PRJ005,"Infrastructure Upgrade 5",Operations,PM002,Infrastructure,High,"In Progress",2024-08-21,2025-05-24,NULL,367175.49,188420.66
PRJ006,"Compliance Initiative 6",Procurement,PM002,Compliance,High,"In Progress",2024-04-06,2025-02-26,NULL,789938.11,705978.76
PRJ007,"Technology Upgrade 7",Finance,PM006,Technology,Medium,Completed,2024-06-13,2025-01-26,2025-01-04,461416.54,545797.13
PRJ008,"Digital Transformation Upgrade 8",Finance,PM008,"Digital Transformation",High,"In Progress",2024-03-09,2024-08-17,NULL,530923.64,338103.26
PRJ009,"Digital Transformation Programme 9",Procurement,PM010,"Digital Transformation",High,"In Progress",2024-04-05,2025-03-21,NULL,1012355.88,762779.07
PRJ010,"Business Change Programme 10",Finance,PM003,"Business Change",Medium,Completed,2024-07-20,2025-06-14,2025-07-21,540257.53,575897.11
PRJ011,"Business Change Upgrade 11",Procurement,PM002,"Business Change",High,Delayed,2024-11-11,2025-04-07,2025-07-21,897792.24,860806.16
PRJ012,"Compliance Implementation 12",Marketing,PM003,Compliance,Critical,"At Risk",2024-05-27,2025-07-18,2025-12-24,1237491.91,1056191.60
PRJ013,"Technology Initiative 13",Marketing,PM009,Technology,Medium,"In Progress",2024-02-12,2024-10-16,NULL,516932.01,229788.14
PRJ014,"Business Change Implementation 14",IT,PM002,"Business Change",Medium,Completed,2024-09-25,2025-02-26,2025-02-12,1336514.10,1582505.67
PRJ015,"Compliance Upgrade 15",Operations,PM009,Compliance,Medium,Completed,2024-09-25,2025-12-12,2025-12-07,1440250.50,1468620.11
PRJ016,"Digital Transformation Programme 16",HR,PM009,"Digital Transformation",Low,Completed,2024-06-01,2025-06-27,2025-08-06,498723.73,481799.65
PRJ017,"Infrastructure Initiative 17",Procurement,PM001,Infrastructure,Low,Completed,2024-06-03,2025-05-22,2025-05-22,593030.66,620087.30
PRJ018,"Compliance Transformation 18",Finance,PM010,Compliance,Medium,Delayed,2024-07-07,2024-11-22,2025-01-15,1335016.36,1233560.65
PRJ019,"Business Change Implementation 19",HR,PM001,"Business Change",High,"In Progress",2024-01-13,2024-10-02,NULL,1611155.40,588976.25
PRJ020,"Digital Transformation Programme 20",Finance,PM009,"Digital Transformation",Low,Completed,2024-08-08,2024-12-14,2025-01-09,1625643.38,1880528.12
PRJ021,"Technology Programme 21",IT,PM009,Technology,Critical,"At Risk",2024-04-06,2025-01-29,2025-07-02,988648.92,1090111.62
PRJ022,"Technology Initiative 22",Finance,PM007,Technology,Critical,Completed,2024-08-10,2025-06-12,2025-08-10,1916769.40,2297491.19
PRJ023,"Infrastructure Initiative 23",Procurement,PM008,Infrastructure,Medium,Completed,2024-01-19,2025-01-20,2024-12-28,1508552.34,1383568.15
PRJ024,"Compliance Implementation 24",HR,PM009,Compliance,Medium,"On Hold",2024-02-28,2024-08-31,NULL,183616.60,62572.23
PRJ025,"Compliance Upgrade 25",HR,PM002,Compliance,Medium,"In Progress",2024-10-03,2025-08-03,NULL,1331877.67,851251.17
PRJ026,"Business Change Programme 26",Operations,PM004,"Business Change",High,Completed,2024-07-05,2025-09-11,2025-11-02,634994.31,631726.10
PRJ027,"Compliance Upgrade 27",IT,PM008,Compliance,Critical,"On Hold",2024-02-18,2024-09-04,NULL,1036475.15,393315.31
PRJ028,"Process Improvement Initiative 28",IT,PM004,"Process Improvement",Medium,"In Progress",2024-09-23,2025-05-25,NULL,1242771.64,1108974.64
PRJ029,"Process Improvement Upgrade 29",IT,PM009,"Process Improvement",Critical,Completed,2024-03-09,2024-08-05,2024-07-19,1497712.53,1417786.16
PRJ030,"Business Change Programme 30",Marketing,PM004,"Business Change",Medium,Delayed,2024-05-17,2025-04-22,2025-07-25,1815406.16,1989932.59
PRJ031,"Process Improvement Transformation 31",Procurement,PM007,"Process Improvement",Low,"In Progress",2024-03-21,2024-10-31,NULL,365084.85,206309.93
PRJ032,"Technology Implementation 32",Marketing,PM001,Technology,Low,"At Risk",2024-03-18,2024-07-04,2024-11-05,1185893.65,1010183.14
PRJ033,"Process Improvement Initiative 33",IT,PM005,"Process Improvement",High,Delayed,2024-01-12,2024-07-27,2024-10-28,1350520.15,1247593.66
PRJ034,"Business Change Upgrade 34",HR,PM010,"Business Change",Medium,"At Risk",2024-03-26,2024-09-22,2025-02-04,98333.41,104016.84
PRJ035,"Process Improvement Transformation 35",HR,PM004,"Process Improvement",Medium,Delayed,2024-07-28,2024-11-14,2025-04-13,483745.75,525253.70
PRJ036,"Infrastructure Initiative 36",Operations,PM005,Infrastructure,Medium,Delayed,2024-07-11,2025-02-28,2025-04-16,1935433.75,1737426.78
PRJ037,"Process Improvement Upgrade 37",HR,PM009,"Process Improvement",Critical,Completed,2024-05-06,2025-05-28,2025-05-31,124601.53,134441.48
PRJ038,"Digital Transformation Programme 38",Procurement,PM006,"Digital Transformation",High,"In Progress",2024-07-19,2025-01-22,NULL,546708.89,396512.20
PRJ039,"Business Change Upgrade 39",Marketing,PM009,"Business Change",High,Delayed,2024-11-07,2025-08-10,2025-12-28,186448.93,192505.39
PRJ040,"Business Change Initiative 40",Marketing,PM006,"Business Change",High,Delayed,2024-05-17,2025-01-20,2025-06-03,686056.66,716258.89
PRJ041,"Digital Transformation Programme 41",Finance,PM004,"Digital Transformation",High,"In Progress",2024-12-06,2026-01-15,NULL,1159755.25,630495.26
PRJ042,"Infrastructure Initiative 42",Operations,PM005,Infrastructure,Medium,"In Progress",2024-11-11,2025-10-05,NULL,911482.73,642938.35
PRJ043,"Business Change Implementation 43",HR,PM003,"Business Change",Low,"In Progress",2024-11-20,2025-08-08,NULL,232105.04,202209.86
PRJ044,"Infrastructure Transformation 44",Procurement,PM005,Infrastructure,High,Completed,2024-01-08,2024-12-06,2025-01-23,1706988.50,1573584.73
PRJ045,"Infrastructure Programme 45",Procurement,PM010,Infrastructure,High,"In Progress",2024-07-08,2024-12-20,NULL,1329313.12,403216.42
PRJ046,"Infrastructure Implementation 46",HR,PM004,Infrastructure,High,Delayed,2024-08-02,2025-08-12,2025-11-13,1839066.53,1549368.51
PRJ047,"Compliance Transformation 47",HR,PM009,Compliance,Medium,"On Hold",2024-08-20,2025-08-03,NULL,882144.48,744629.48
PRJ048,"Digital Transformation Programme 48",Finance,PM008,"Digital Transformation",Medium,Completed,2024-11-09,2025-10-31,2025-12-02,1272159.45,1249743.03
PRJ049,"Infrastructure Implementation 49",Procurement,PM005,Infrastructure,Medium,"In Progress",2024-09-03,2025-02-10,NULL,344119.78,182321.95
PRJ050,"Technology Initiative 50",Procurement,PM004,Technology,Medium,"In Progress",2024-08-14,2024-12-13,NULL,453327.06,250275.57
PRJ051,"Compliance Initiative 51",Procurement,PM001,Compliance,Medium,Completed,2024-06-10,2025-03-26,2025-04-18,1099530.11,1231902.78
